date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:15	410/410	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2005:23:16%20GMT	https://Nanda.id/robots.txt		(from )
12:23:15	50570/50570	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20May%202024%2005:23:16%20GMT	https://Nanda.id/	C:/xampp/htdocs/WebNandaSamp/Nanda.id/index.html	(from )
12:23:16	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2264efde87-3c2e%22	https://Nanda.id/favicon.ico	C:/xampp/htdocs/WebNandaSamp/Nanda.id/favicon.ico	(from https://Nanda.id/)
12:23:16	172127/172127	---M--	200	added ('OK')	image/png	etag:%2264efd7be-2a05f%22	https://Nanda.id/images/banner.png	C:/xampp/htdocs/WebNandaSamp/Nanda.id/images/banner.png	(from https://Nanda.id/)
12:23:16	652326/652326	---MCZ	200	added ('OK')	text/css	etag:W/%2264efd780-9f426%22	https://Nanda.id/css/bootstrap.css	C:/xampp/htdocs/WebNandaSamp/Nanda.id/css/bootstrap.css	(from https://Nanda.id/)
12:23:16	110016/110016	---MCZ	200	added ('OK')	text/css	etag:W/%2264efde88-1adc0%22	https://Nanda.id/style.css	C:/xampp/htdocs/WebNandaSamp/Nanda.id/style.css	(from https://Nanda.id/)
12:23:16	810/810	---MCZ	200	added ('OK')	text/css	etag:W/%2264efd77c-32a%22	https://Nanda.id/css/colors.css	C:/xampp/htdocs/WebNandaSamp/Nanda.id/css/colors.css	(from https://Nanda.id/)
12:23:17	6839/6839	---MCZ	200	added ('OK')	text/css	etag:W/%2264efd77d-1ab7%22	https://Nanda.id/css/responsive.css	C:/xampp/htdocs/WebNandaSamp/Nanda.id/css/responsive.css	(from https://Nanda.id/)
12:23:17	8285/8285	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264e73b34-205d%22	https://client.crisp.chat/l.js	C:/xampp/htdocs/WebNandaSamp/client.crisp.chat/l.js	(from https://Nanda.id/)
12:23:17	532/532	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2005:23:18%20GMT	https://Nanda.id/peraturan	C:/xampp/htdocs/WebNandaSamp/Nanda.id/peraturan	(from https://Nanda.id/)
12:23:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2005:23:19%20GMT	http://Nanda.id/peraturan/	C:/xampp/htdocs/WebNandaSamp/Nanda.id/peraturan/index.html	(from https://Nanda.id/)
12:23:19	532/532	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2005:23:19%20GMT	https://Nanda.id/donasi	C:/xampp/htdocs/WebNandaSamp/Nanda.id/donasi	(from https://Nanda.id/)
12:23:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2005:23:20%20GMT	http://Nanda.id/donasi/	C:/xampp/htdocs/WebNandaSamp/Nanda.id/donasi/index.html	(from https://Nanda.id/)
12:23:21	532/532	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2005:23:20%20GMT	https://Nanda.id/discord	C:/xampp/htdocs/WebNandaSamp/Nanda.id/discord	(from https://Nanda.id/)
12:23:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2005:23:22%20GMT	http://Nanda.id/discord/	C:/xampp/htdocs/WebNandaSamp/Nanda.id/discord/index.html	(from https://Nanda.id/)
12:23:24	882680/882680	---M--	200	added ('OK')	image/png	etag:%2264f0f660-d77f8%22	https://Nanda.id/images/logo_Nanda_putih.png	C:/xampp/htdocs/WebNandaSamp/Nanda.id/images/logo_Nanda_putih.png	(from https://Nanda.id/)
12:23:24	1744/1744	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264efd7bf-6d0%22	https://Nanda.id/images/ico01.svg	C:/xampp/htdocs/WebNandaSamp/Nanda.id/images/ico01.svg	(from https://Nanda.id/)
12:23:24	52831/52831	---M--	200	added ('OK')	image/png	etag:%2264efd7d1-ce5f%22	https://Nanda.id/images/logo_polisi.png	C:/xampp/htdocs/WebNandaSamp/Nanda.id/images/logo_polisi.png	(from https://Nanda.id/)
12:23:25	50247/50247	---M--	200	added ('OK')	image/png	etag:%2264efd7cf-c447%22	https://Nanda.id/images/logo_ems.png	C:/xampp/htdocs/WebNandaSamp/Nanda.id/images/logo_ems.png	(from https://Nanda.id/)
12:23:25	41945/41945	---M--	200	added ('OK')	image/png	etag:%2264efd7d0-a3d9%22	https://Nanda.id/images/logo_mekanik.png	C:/xampp/htdocs/WebNandaSamp/Nanda.id/images/logo_mekanik.png	(from https://Nanda.id/)
12:23:25	29111/29111	---M--	200	added ('OK')	image/png	etag:%2264efd7d2-71b7%22	https://Nanda.id/images/logo_taksi.png	C:/xampp/htdocs/WebNandaSamp/Nanda.id/images/logo_taksi.png	(from https://Nanda.id/)
12:23:26	36/36	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2012%20May%202024%2005:23:26%20GMT	https://cdn.discordapp.com/attachments/616666479940599811/1022545370456268891/logo_Nanda_v2-01.png	C:/xampp/htdocs/WebNandaSamp/cdn.discordapp.com/attachments/616666479940599811/1022545370456268891/logo_Nanda_v2-01.10.delayed	(from https://Nanda.id/)
12:23:27	883/883	---M--	200	added ('OK')	text/html	date:Sun,%2012%20May%202024%2005:23:27%20GMT	https://i.postimg.cc/jSdZGVWQ/discord-profile.gif	C:/xampp/htdocs/WebNandaSamp/i.postimg.cc/jSdZGVWQ/discord-profile.html	(from https://Nanda.id/)
12:23:27	1634/1634	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2005:23:28%20GMT	https://Nanda.id/default	C:/xampp/htdocs/WebNandaSamp/Nanda.id/default	(from https://Nanda.id/)
12:23:27	88145/88145	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f0f65c-15851%22	https://Nanda.id/js/jquery-3.4.1.min.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/js/jquery-3.4.1.min.js	(from https://Nanda.id/)
12:23:28	21233/21233	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f0f65c-52f1%22	https://Nanda.id/js/popper.min.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/js/popper.min.js	(from https://Nanda.id/)
12:23:28	63240/63240	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f0f65d-f708%22	https://Nanda.id/js/bootstrap.min.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/js/bootstrap.min.js	(from https://Nanda.id/)
12:23:28	140182/140182	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f0f65d-22396%22	https://Nanda.id/js/jqueryCustom.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/js/jqueryCustom.js	(from https://Nanda.id/)
12:23:28	979/979	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f0f65c-3d3%22	https://Nanda.id/js/yw1.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/js/yw1.js	(from https://Nanda.id/)
12:23:30	11891/11891	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2012%20May%202024%2005:23:30%20GMT	https://kit.fontawesome.com/391f644c42.js	C:/xampp/htdocs/WebNandaSamp/kit.fontawesome.com/391f644c42.js	(from https://Nanda.id/)
12:23:30	19306/19306	---MCZ	200	added ('OK')	text/javascript	etag:W/%222024.5.0%22	https://static.cloudflareinsights.com/beacon.min.js	C:/xampp/htdocs/WebNandaSamp/static.cloudflareinsights.com/beacon.min.js	(from https://Nanda.id/)
12:23:30	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b4689-302c%22	https://Nanda.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://Nanda.id/)
12:23:30	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2012%20May%202024%2005:23:31%20GMT	https://Nanda.id/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://Nanda.id/)
12:23:31	7791/7791	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2012%20May%202024%2005:23:31%20GMT	https://Nanda.id/cdn-cgi/challenge-platform/h/g/scripts/jsd/1b3559406bc8/main.js	C:/xampp/htdocs/WebNandaSamp/Nanda.id/cdn-cgi/challenge-platform/h/g/scripts/jsd/1b3559406bc8/main.js	(from https://Nanda.id/)
12:23:31	2040/2040	---M--	200	added ('OK')	application/octet-stream	etag:%2264efd7b9-7f8%22	https://Nanda.id/fonts/icomoon5b10.ttf?h7kkm8	C:/xampp/htdocs/WebNandaSamp/Nanda.id/fonts/icomoon5b105b10.ttf	(from https://Nanda.id/style.css)
12:23:32	2116/2116	---M--	200	added ('OK')	font/woff	etag:%2264f0f657-844%22	https://Nanda.id/fonts/icomoon5b10.woff?h7kkm8	C:/xampp/htdocs/WebNandaSamp/Nanda.id/fonts/icomoon5b105b10.woff	(from https://Nanda.id/style.css)
12:23:33	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2005:23:33%20GMT	http://Nanda.id/robots.txt		(from https://Nanda.id/)
12:23:33	4535/4535	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264f0f657-11b7%22	https://Nanda.id/fonts/icomoon5b10.svg?h7kkm8	C:/xampp/htdocs/WebNandaSamp/Nanda.id/fonts/icomoon5b105b10.svg	(from https://Nanda.id/style.css)
